ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features,Algorithm
0,0.15303030303030302,0.606769537083126,"(0.77778, 0.50164, 0.76786)","(0.07174, 0.91742, 0.84697)","['FacilityRegion', 'FacilityEconomicSector']","[(0.15704985830473003, 'FacilityEconomicSector_Equipamiento'), (0.11839694391739389, 'FacilityRegion_Región Metropolitana'), (0.05358706102508936, 'FacilityEconomicSector_Minería'), (0.046712384818446306, 'FacilityRegion_Región de Ñuble'), (0.046107862601444484, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
1,0.1969696969696969,0.662020905923345,"(0.56564, 0.65571, 0.78287)","(0.67496, 0.50901, 0.80303)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.13095459577734206, 'FacilityRegion_Región Metropolitana'), (0.12768025577662617, 'FacilityEconomicSector_Equipamiento'), (0.07259438569080283, 'min_num_words'), (0.060441809589026445, 'FacilityEconomicSector_Minería'), (0.049380167386846405, 'FacilityRegion_Región de Ñuble')]",Random Forest
2,0.1696969696969697,0.646590343454455,"(0.52802, 0.70924, 0.76858)","(0.71742, 0.39189, 0.8303)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.14328261774481363, 'FacilityEconomicSector_Equipamiento'), (0.11278902030256727, 'FacilityRegion_Región Metropolitana'), (0.0585312515476766, 'min_num_words'), (0.052770067449073844, 'FacilityEconomicSector_Minería'), (0.04458278859683214, 'FacilityEconomicSector_Instalación fabril')]",Random Forest
3,0.1818181818181818,0.6172224987555998,"(0.49897, 0.65758, 0.75949)","(0.70717, 0.32583, 0.81818)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.14932964116835057, 'FacilityEconomicSector_Equipamiento'), (0.09980833762535336, 'FacilityRegion_Región Metropolitana'), (0.0653891003174349, 'min_num_words'), (0.04942290642417484, 'FacilityEconomicSector_Minería'), (0.04486596089385051, 'FacilityRegion_Región de Ñuble')]",Random Forest
4,0.2136363636363636,0.6202090592334495,"(0.51033, 0.66382, 0.75217)","(0.72328, 0.34985, 0.78636)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.14595300942837738, 'FacilityEconomicSector_Equipamiento'), (0.11812821305318512, 'FacilityRegion_Región Metropolitana'), (0.05774729972182425, 'min_num_words'), (0.053816480112491884, 'FacilityEconomicSector_Minería'), (0.047027412507317484, 'FacilityRegion_Región de Ñuble')]",Random Forest
5,0.1969696969696969,0.6341463414634146,"(0.52615, 0.64524, 0.77599)","(0.72182, 0.37688, 0.80303)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.14447399315331758, 'FacilityEconomicSector_Equipamiento'), (0.11228597008627336, 'FacilityRegion_Región Metropolitana'), (0.06292163569249325, 'min_num_words'), (0.05541591485311541, 'FacilityEconomicSector_Minería'), (0.04800153675653357, 'FacilityRegion_Región de Ñuble')]",Random Forest
6,0.1696969696969697,0.6256844201095072,"(0.51288, 0.64525, 0.76217)","(0.69985, 0.34685, 0.8303)","['FacilityRegion', 'FacilityEconomicSector', 'min_num_words']","[(0.13794934149333063, 'FacilityEconomicSector_Equipamiento'), (0.10920725424940549, 'FacilityRegion_Región Metropolitana'), (0.06516767094358378, 'min_num_words'), (0.06092168880785588, 'FacilityEconomicSector_Minería'), (0.04696160344482073, 'FacilityRegion_Región de Ñuble')]",Random Forest
7,0.203030303030303,0.5923344947735192,"(0.64211, 0.49711, 0.75036)","(0.08931, 0.90541, 0.79697)","['FacilityRegion', 'FacilityEconomicSector', 'remove_missing_env_topics']","[(0.14644829124110587, 'FacilityEconomicSector_Equipamiento'), (0.1252383196991628, 'FacilityRegion_Región Metropolitana'), (0.06033507660432456, 'FacilityEconomicSector_Minería'), (0.046995436728455055, 'FacilityRegion_Región de Ñuble'), (0.04663082671447046, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
8,0.1393939393939394,0.5823792931806869,"(0.71429, 0.48681, 0.71717)","(0.04392, 0.85886, 0.86061)","['FacilityRegion', 'max_num_words']","[(0.2537879209279383, 'FacilityRegion_Región Metropolitana'), (0.08062868316331613, 'FacilityRegion_Región de Valparaíso'), (0.07523272672192788, 'FacilityRegion_Región de Coquimbo'), (0.0650648200279315, 'FacilityRegion_Región de los Lagos'), (0.06459157063724547, 'FacilityRegion_Región del Maule')]",Random Forest
9,0.1606060606060606,0.5724240915878547,"(0.68421, 0.4876, 0.69077)","(0.03807, 0.85586, 0.83939)","['FacilityRegion', 'max_num_words']","[(0.2470391574217975, 'FacilityRegion_Región Metropolitana'), (0.0882355052211291, 'FacilityRegion_Región de Coquimbo'), (0.0694336069461348, 'FacilityRegion_Región del Biobío'), (0.06799379882341101, 'FacilityRegion_Región de Valparaíso'), (0.058464313901583125, 'FacilityRegion_Región del Maule')]",Random Forest
