ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (R, NR)","Recall (R,NR)",Features,5 most important features,Algorithm
0,0.1123260437375745,0.8641095890410959,"(0.86868, 0.85822)","(0.88767, 0.83516)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facilities_num_sanctions', 'facilities_num_inspections', 'FacilityRegion', 'FacilityEconomicSubSector', 'sanction_inspection_ratio', 'month']","[(0.2783767489123223, 'sanction_inspection_ratio'), (0.1691784707055274, 'num_words'), (0.08364383949098092, 'month'), (0.07312062317034618, 'FacilityRegion_Región Metropolitana'), (0.03215792316269433, 'Ruidos')]",Random Forest
1,0.1143141153081511,0.8635616438356164,"(0.86927, 0.85625)","(0.88569, 0.83639)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facilities_num_sanctions', 'facilities_num_inspections', 'FacilityRegion', 'FacilityEconomicSubSector', 'sanction_inspection_ratio', 'month']","[(0.2855112329107888, 'sanction_inspection_ratio'), (0.16846853256171818, 'num_words'), (0.08217439747016782, 'month'), (0.06661037868400109, 'FacilityRegion_Región Metropolitana'), (0.0301664347588962, 'Ruidos')]",Random Forest
2,0.1401590457256461,0.8810958904109589,"(0.91923, 0.8405)","(0.85984, 0.9072)","['ComplaintType', 'EnvironmentalTopic', 'facilities_num_sanctions', 'facilities_num_inspections', 'FacilityRegion', 'FacilityEconomicSubSector', 'sanction_inspection_ratio', 'month']","[(0.3383305134135802, 'sanction_inspection_ratio'), (0.09051872842619858, 'month'), (0.08730870936372755, 'FacilityRegion_Región Metropolitana'), (0.03987066458461344, 'Ruidos'), (0.01955205914965616, 'FacilityEconomicSubSector_Discoteca / pub')]",Random Forest
3,0.136182902584493,0.8821917808219178,"(0.91763, 0.84396)","(0.86382, 0.90476)","['ComplaintType', 'EnvironmentalTopic', 'facilities_num_sanctions', 'facilities_num_inspections', 'FacilityRegion', 'FacilityEconomicSector', 'sanction_inspection_ratio', 'month']","[(0.3773231533858901, 'sanction_inspection_ratio'), (0.09361649527408987, 'month'), (0.07443386299599021, 'FacilityEconomicSector_Equipamiento'), (0.07229925006741571, 'FacilityRegion_Región Metropolitana'), (0.03496186587092767, 'Ruidos')]",Random Forest
4,0.1371769383697813,0.8794520547945206,"(0.91368, 0.84229)","(0.86282, 0.89988)","['ComplaintType', 'EnvironmentalTopic', 'facilities_num_sanctions', 'FacilityRegion', 'FacilityEconomicSector', 'sanction_inspection_ratio', 'month']","[(0.33730763557379334, 'sanction_inspection_ratio'), (0.0975718681662374, 'month'), (0.08024799972720201, 'FacilityRegion_Región Metropolitana'), (0.07860591225051676, 'FacilityEconomicSector_Equipamiento'), (0.034504911843396574, 'Ruidos')]",Random Forest
5,0.1371769383697813,0.8816438356164383,"(0.91755, 0.843)","(0.86282, 0.90476)","['ComplaintType', 'EnvironmentalTopic', 'facilities_num_sanctions', 'facilities_num_inspections', 'FacilityRegion', 'FacilityEconomicSector', 'FacilityEconomicSubSector', 'sanction_inspection_ratio', 'month']","[(0.35987411109438094, 'sanction_inspection_ratio'), (0.09464660186334237, 'month'), (0.08104098515793806, 'FacilityRegion_Región Metropolitana'), (0.07933104472851489, 'FacilityEconomicSector_Equipamiento'), (0.032672301031646284, 'Ruidos')]",Random Forest
6,0.1401590457256461,0.8712328767123287,"(0.90198, 0.83718)","(0.85984, 0.88523)","['ComplaintType', 'FacilityRegion', 'FacilityEconomicSector']","[(0.16965222336572022, 'FacilityEconomicSector_Equipamiento'), (0.15336723981202507, 'FacilityRegion_Región Metropolitana'), (0.06444833993303783, 'FacilityEconomicSector_Minería'), (0.04182356779809218, 'FacilityRegion_Región de los Lagos'), (0.04104435594921841, 'FacilityRegion_Región del Maule')]",Random Forest
7,0.1381709741550695,0.8728767123287671,"(0.90312, 0.83931)","(0.86183, 0.88645)","['ComplaintType', 'FacilityRegion', 'FacilityEconomicSector']","[(0.1719301503326651, 'FacilityEconomicSector_Equipamiento'), (0.14650108011594765, 'FacilityRegion_Región Metropolitana'), (0.06812092243169152, 'FacilityEconomicSector_Minería'), (0.043211602382865956, 'FacilityEconomicSector_Agroindustrias'), (0.04230080936292532, 'FacilityEconomicSector_Energía')]",Random Forest
8,0.1381709741550695,0.8734246575342466,"(0.90407, 0.83949)","(0.86183, 0.88767)","['ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'EnvironmentalTopic']","[(0.13840402107011807, 'FacilityRegion_Región Metropolitana'), (0.047620413069162294, 'Ruidos'), (0.0404404061308745, 'FacilityRegion_Región de los Lagos'), (0.03751565992194362, 'FacilityEconomicSubSector_Discoteca / pub'), (0.0372705841666541, 'FacilityRegion_Región del Biobío')]",Random Forest
9,0.1292246520874751,0.8761643835616438,"(0.90123, 0.8476)","(0.87078, 0.88278)","['ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'FacilityEconomicSector', 'EnvironmentalTopic']","[(0.12319394790945373, 'FacilityEconomicSector_Equipamiento'), (0.11459201354905607, 'FacilityRegion_Región Metropolitana'), (0.05519437568016111, 'FacilityEconomicSector_Minería'), (0.04470418749451128, 'Ruidos'), (0.043876328919314624, 'FacilityEconomicSector_Agroindustrias')]",Random Forest
